kernel,precision,N,workers,num_samples,avg_time_med,speedup,efficiency_pct
matmul,float,6912,1,3,56.90903380666666,1.0,100.0
matmul,float,6912,4,3,37.98586015666667,1.4981636211988978,37.45409052997245
matmul,float,6912,9,3,39.72561362,1.4325526686896943,15.917251874329938
matvec,float,6144,1,3,0.037598076333333334,1.0,100.0
matvec,float,6144,2,3,0.021932880666666668,1.7142333879778247,85.71166939889123
matvec,float,6144,4,3,0.011763012,3.1962966911309225,79.90741727827306
matvec,float,6144,6,3,0.008711608333333332,4.315859356242103,71.93098927070172
matvec,float,6144,8,3,0.006578569666666667,5.715235718159404,71.44044647699255
gaussian,float,1536,1,3,0.23624694966666668,1.0,100.0
gaussian,float,1536,2,3,0.13417534966666667,1.7607328786813496,88.03664393406748
gaussian,float,1536,4,3,0.08878627433333333,2.660849905467558,66.52124763668895
gaussian,float,1536,6,3,0.08265896966666667,2.8580921177624647,47.63486862937441
gaussian,float,1536,8,3,0.08915753133333333,2.6497699760596785,33.12212470074598
reduction,float,16777200,1,3,0.023517473996666666,1.0,100.0
reduction,float,16777200,2,3,0.018365215666666667,1.2805443956398224,64.02721978199112
reduction,float,16777200,4,3,0.013887731,1.6933993030730985,42.334982576827464
reduction,float,16777200,6,3,0.014006494666666666,1.6790406562346174,27.984010937243625
reduction,float,16777200,8,3,0.014507123,1.6210984077729724,20.263730097162156
